title,url,zip,addr,tel,description
東京都庁,http://www.metro.tokyo.jp/,〒163-8001,東京都新宿区西新宿2-8-1,03-5321-1111,都知事：石原 慎太郎\n人口：1206万人
警視庁,http://www.keishicho.metro.tokyo.jp/,〒100-8929,東京都千代田区霞が関2-1-1,,
東京消防庁,http://www.tfd.metro.tokyo.jp/,〒100-8119,東京都千代田区大手町1-3-5,03-3212-2111,
千代田区役所,http://www.city.chiyoda.tokyo.jp/,〒102-8688,東京都千代田区九段南1-6-11,03-3264-2111,区長：石川 雅己\n人口：4.3万人
中央区役所,http://www.city.chuo.tokyo.jp/,〒104-8404,東京都中央区築地1-1-1,03-3543-0211,区長：矢田 美英\n人口：9.6万人
港区役所,http://www.city.minato.tokyo.jp/,〒105-8511,東京都港区芝公園1-5-25,03-3578-2111,区長：武井 雅昭\n人口：17万人
新宿区役所,http://www.city.shinjuku.tokyo.jp/,〒160-8484,東京都新宿区歌舞伎町1-4-1,03-3209-1111,区長：中山 弘子\n人口：26万人
文京区役所,http://www.city.bunkyo.lg.jp/,〒112-8555,東京都文京区春日1-16-21,03-3812-7111,区長：煙山 力\n人口：17万人
台東区役所,http://www.city.taito.tokyo.jp/,〒110-8615,東京都台東区東上野4-5-6,03-5246-1111,区長：吉住 弘\n人口：15万人
墨田区役所,http://www.city.sumida.lg.jp/,〒130-8640,東京都墨田区吾妻橋1-23-20,03-5608-1111,区長：山崎 昇\n人口：21万人
江東区役所,http://www.city.koto.lg.jp/,〒135-8383,東京都江東区東陽 4-11-28,03-3647-9111,区長：室橋 昭\n人口：38万人
品川区役所,http://www.city.shinagawa.tokyo.jp/,〒140-8715,東京都品川区広町2-1-36,03-3777-1111,区長：高橋 久二\n人口：32万人
目黒区役所,http://www.city.meguro.tokyo.jp/,〒153-8573,東京都目黒区上目黒2-19-15,03-3715-1111,区長：薬師寺 克一\n人口：24万人
大田区役所,http://www.city.ota.tokyo.jp/,〒144-8621,東京都大田区蒲田5-13-14,03-5744-1111,区長：西野 善雄\n人口：64万人
世田谷区役所,http://www.city.setagaya.tokyo.jp/,〒154-8504,東京都世田谷区世田谷4-21-27,03-5432-1111,区長：熊本 哲之\n人口：78万人
渋谷区役所,http://www.city.shibuya.tokyo.jp/,〒150-8010,東京都渋谷区宇田川町1-1,03-3463-1211,区長：桑原 敏武\n人口：29万人
中野区役所,http://www.city.tokyo-nakano.lg.jp/,〒164-8501,東京都中野区中野4-8-1,03-3389-1111,区長：田中 大輔\n人口：29万人
杉並区役所,http://www.city.suginami.tokyo.jp/,〒166-8570,東京都杉並区阿佐谷南1-15-1,03-3312-2111,区長：山田 宏\n人口：51万人
豊島区役所,http://www.city.toshima.tokyo.jp/,〒170-8422,東京都豊島区東池袋1-18-1,03-3981-1111,区長：高野 之夫\n人口：24万人
北区役所,http://www.city.kita.tokyo.jp/,〒114-8508,東京都北区王子本町1-15-22,03-3908-1111,区長：花川 与惣太\n人口：32万人
荒川区役所,http://www.city.arakawa.tokyo.jp/,〒116-8501,東京都荒川区荒川2-2-3,03-3802-3111,区長：藤澤 志光\n人口：17万人
板橋区役所,http://www.city.itabashi.tokyo.jp/,〒173-8501,東京都板橋区板橋2−66−1,03-3964-1111,区長：石塚 輝雄\n人口：50万人
練馬区役所,http://www.city.nerima.tokyo.jp/,〒176-8501,東京都練馬区豊玉北6-12-1,03-3993-1111,区長：志村 豊志郎\n人口：65万人
足立区役所,http://www.city.adachi.tokyo.jp/,〒120-8510,東京都足立区中央本町1-17-1,03-3880-5111,区長：鈴木 恒年\n人口：62万人
葛飾区役所,http://www.city.katsushika.tokyo.jp/,〒124-8555,東京都葛飾区立石5-13-1,03-3695-1111,区長：青木 勇\n人口：42万人
江戸川区役所,http://www.city.edogawa.tokyo.jp/,〒132-8501,東京都江戸川区中央1-4-1,03-3652-1151,区長：多田 正見\n人口：62万人

